,time(sec),r,wtot
100,364.503039884291,5.647516242948566,3.757414563515708e-13
101,368.1480702831339,5.65841427100863,3.7603635731325934e-13
102,371.7931006819768,5.668026392664099,3.762552701569236e-13
103,375.4381310808197,5.67629585154571,3.76395996737223e-13
104,379.0831614796626,5.68324710661402,3.7646045826610356e-13
105,382.72819187850547,5.688969342506118,3.764541424227015e-13
106,386.37322227734836,5.693592852644602,3.763859895454777e-13
107,390.01825267619125,5.6972896564747835,3.7626558788313926e-13
108,393.66328307503414,5.70022659825028,3.76104818946078e-13
109,397.30831347387704,5.702585911991582,3.759137085926531e-13
110,400.9533438727199,5.704514008201096,3.757033296419771e-13
111,404.5983742715628,5.706149619820243,3.754820291921382e-13
112,408.2434046704057,5.707571896995704,3.7525958409339586e-13
113,411.8884350692486,5.708868345157043,3.7504080310844396e-13
114,415.5334654680915,5.710086698373811,3.748301894356679e-13
115,419.1784958669344,5.711242677213753,3.746317456943318e-13
116,422.8235262657773,5.712360174200541,3.744458881675753e-13
117,426.46855666462017,5.713406594740981,3.7427606728202553e-13
118,430.11358706346306,5.714393754460683,3.7412009618735914e-13
119,433.75861746230595,5.715288960873207,3.7397884411049876e-13
120,437.40364786114884,5.716075681838353,3.738511160476174e-13
121,441.04867825999173,5.716729246338474,3.737362004515562e-13
122,444.6937086588346,5.717229014406254,3.736329909645077e-13
123,448.3387390576775,5.71755838501386,3.7354016043066945e-13
124,451.9837694565204,5.7177048805920005,3.7345623580419574e-13
125,455.6287998553633,5.717656009047264,3.7338003862086966e-13
126,459.2738302542062,5.717399291191009,3.73310697979821e-13
127,462.9188606530491,5.716918207046614,3.732480048961193e-13
128,466.56389105189197,5.716212539891378,3.731905761869322e-13
129,470.20892145073486,5.715282097950769,3.7313729986884206e-13
130,473.85395184957775,5.714126704761824,3.730873031339023e-13
131,477.49898224842065,5.712750297066796,3.7303954064564537e-13
132,481.14401264726354,5.711140458544186,3.729946603262711e-13
133,484.7890430461064,5.709284803145283,3.7295344625439776e-13
134,488.4340734449493,5.707203647070649,3.729139122843844e-13
135,492.0791038437922,5.704900953947424,3.7287565444010675e-13
136,495.7241342426351,5.7023888666684535,3.728376534100909e-13
137,499.369164641478,5.699646837811176,3.728019085539662e-13
138,503.0141950403209,5.696699289885802,3.727665085550287e-13
139,506.6592254391638,5.693550225948697,3.7273141239918577e-13
140,510.30425583800667,5.690203645694916,3.7269669388016233e-13
141,513.9492862368496,5.686683980825381,3.7266062049323533e-13
142,517.5943166356925,5.682987008769465,3.726241286703542e-13
143,521.2393470345354,5.679112643216878,3.7258784603839794e-13
144,524.8843774333783,5.675077147583898,3.725509569626828e-13
145,528.5294078322212,5.670888626855452,3.7251341293559556e-13
146,532.1744382310641,5.666563345027506,3.724745293959578e-13
147,535.819468629907,5.662109392397147,3.724343455579626e-13
148,539.4644990287499,5.657530752861284,3.723934108735528e-13
149,543.1095294275927,5.6528396146214686,3.72351437388097e-13
150,546.7545598264356,5.648072784651569,3.7230595047862586e-13
151,550.3995902252785,5.6432096091747885,3.722597492446901e-13
152,554.0446206241214,5.638278722925119,3.7221111236053194e-13
153,557.6896510229643,5.633259467473331,3.7216285430737586e-13
154,561.3346814218072,5.628192848438156,3.721120913057481e-13
155,564.9797118206501,5.623080827873091,3.7205952575627634e-13
156,568.624742219493,5.617927418881975,3.720056361763479e-13
157,572.2697726183359,5.612742811598735,3.7195032492655443e-13
158,575.9148030171788,5.607533105998533,3.718938469151791e-13
159,579.5598334160217,5.60230647530777,3.7183625043339394e-13
160,583.2048638148646,5.597069075863544,3.7177778065312476e-13
161,586.8498942137074,5.591822918962449,3.71719075184024e-13
162,590.4949246125503,5.586576241293691,3.7166023658087243e-13
163,594.1399550113932,5.581327010760076,3.716023864602578e-13
164,597.7849854102361,5.576087660653255,3.715453619947857e-13
165,601.430015809079,5.570864452675414,3.714896722273031e-13
166,605.0750462079219,5.565663680707072,3.714359484230179e-13
167,608.7200766067648,5.560497875969897,3.713843853434718e-13
168,612.3651070056077,5.555383739699085,3.7133490721801104e-13
169,616.0101374044506,5.550331772999514,3.712881888983098e-13
170,619.6551678032935,5.545358726906039,3.712444395447037e-13
171,623.3001982021364,5.540478278381074,3.7120430196868595e-13
172,626.9452286009792,5.535713456383449,3.7116762873158407e-13
173,630.5902589998221,5.53108625433101,3.7113445554671347e-13
174,634.235289398665,5.526620751133001,3.711046741561521e-13
175,637.8803197975079,5.522337403548659,3.7107852245842433e-13
176,641.5253501963508,5.5182618517723885,3.7105573011946447e-13
177,645.1703805951937,5.5144160973428304,3.710363022472545e-13
178,648.8154109940366,5.5108242110027925,3.7101994488935944e-13
179,652.4604413928795,5.507507385539934,3.710065024663143e-13
180,656.1054717917224,5.504487056080555,3.7099562018932545e-13
181,659.7505021905653,5.501779704980629,3.709872116231667e-13
182,663.3955325894082,5.499402052763742,3.709809373189783e-13
183,667.040562988251,5.49736768275753,3.7097650057843795e-13
184,670.685593387094,5.495687819778335,3.709735565400513e-13
185,674.3306237859368,5.494370326563693,3.709717972098468e-13
186,677.9756541847797,5.4934200482753415,3.709709166425101e-13
187,681.6206845836226,5.492839014119087,3.7097059858064074e-13
188,685.2657149824655,5.492626325852452,3.709705468440767e-13
189,688.9107453813084,5.4927783401443815,3.709704989831881e-13
190,692.5557757801513,5.493289078245743,3.709702292177086e-13
191,696.2008061789942,5.494150540359229,3.709695693220924e-13
192,699.8458365778371,5.495353251648036,3.709684117440127e-13
193,703.49086697668,5.496886767752186,3.70966715751006e-13
194,707.1358973755229,5.498740616671526,3.709644642027218e-13
195,710.7809277743658,5.500903582132924,3.7096176610851496e-13
196,714.4259581732086,5.503366789508165,3.709585749188234e-13
197,718.0709885720515,5.506118831098665,3.7095515092997264e-13
198,721.7160189708944,5.509149202994671,3.70951701200188e-13
199,725.3610493697373,5.5124493497787865,3.7094823018824546e-13
200,729.0060797685802,5.516009413801802,3.7094478665053203e-13
201,732.6511101674231,5.519816933453302,3.7094151673479163e-13
202,736.296140566266,5.523859446569146,3.7093830591396597e-13
203,739.9411709651089,5.528123456610693,3.709347849965318e-13
204,743.5862013639518,5.532587680517527,3.709308328477636e-13
205,747.2312317627947,5.537224605509771,3.709262588477737e-13
